Participant,Practice,Block,Trial,semantic,gestures,congruent,stimulus,mouse
41,false,170,0,3,1,0,c1,null
41,false,170,1,3,1,0,g2,null
41,false,170,2,3,1,0,c2,null
41,false,170,3,3,1,0,g1,null
41,true,0,0,3,1,1,c1,left
41,false,171,0,3,1,1,g1,null
41,false,171,1,3,1,1,c1,null
41,false,171,2,3,1,1,c2,null
41,false,171,3,3,1,1,g2,null
41,false,172,0,3,1,1,c1,null
41,false,172,1,3,1,1,c2,null
41,false,172,2,3,1,1,g2,null
41,false,172,3,3,1,1,g1,null
41,false,173,0,3,1,1,c1,null
41,false,173,1,3,1,1,c2,null
41,false,173,2,3,1,1,g1,null
41,false,173,3,3,1,1,g2,null
41,false,174,0,3,1,1,c2,null
41,false,174,1,3,1,1,g2,null
41,false,174,2,3,1,1,c1,null
41,false,174,3,3,1,1,g1,null
41,false,175,0,3,1,1,g1,null
41,false,175,1,3,1,1,c2,null
41,false,175,2,3,1,1,g2,null
41,false,175,3,3,1,1,c1,null
41,false,176,0,3,1,1,g1,null
41,false,176,1,3,1,1,g2,null
41,false,176,2,3,1,1,c2,null
41,false,176,3,3,1,1,c1,null
41,false,177,0,3,1,1,c2,null
41,false,177,1,3,1,1,g2,null
41,false,177,2,3,1,1,g1,null
41,false,177,3,3,1,1,c1,null
41,false,178,0,3,1,1,g2,null
41,false,178,1,3,1,1,c1,null
41,false,178,2,3,1,1,c2,null
41,false,178,3,3,1,1,g1,null
41,false,179,0,3,1,1,g2,null
41,false,179,1,3,1,1,c2,null
41,false,179,2,3,1,1,g1,null
41,false,179,3,3,1,1,c1,null
41,false,180,0,3,1,1,g2,null
41,false,180,1,3,1,1,c2,null
41,false,180,2,3,1,1,g1,null
41,false,180,3,3,1,1,c1,null
42,true,0,0,2,3,1,g2,right
42,false,1,0,2,3,1,g2,null
42,false,1,1,2,3,1,c1,null
42,false,1,2,2,3,1,c2,null
42,false,1,3,2,3,1,g1,null
42,false,2,0,2,3,1,g2,null
42,false,2,1,2,3,1,c1,null
42,false,2,2,2,3,1,g1,null
42,false,2,3,2,3,1,c2,null
42,false,3,0,2,3,1,c2,null
42,false,3,1,2,3,1,g1,null
42,false,3,2,2,3,1,g2,null
42,false,3,3,2,3,1,c1,null
42,false,4,0,2,3,1,c1,null
42,false,4,1,2,3,1,g2,null
